CLK_REF_COUNTER,CPU0_CLOCK_COUNTER,CPU0_CACHE_REFILL,CPU0_CACHE_ACCESS,CPU0_READ_STALL,CPU0_WRITE_STALL,CPU0_INSTR_RENAME,CPU0_BRANCH_MISS,CPU1_CLOCK_COUNTER,CPU1_CACHE_REFILL,CPU1_CACHE_ACCESS,CPU1_READ_STALL,CPU1_WRITE_STALL,CPU1_INSTR_RENAME,CPU1_BRANCH_MISS,
1717478925077803000, 283067, 0, 253054, 0, 0, 1521278, 314, 19, 0, 0, 0, 0, 0, 0, 
1717478925092802000, 438470, 0, 391849, 0, 0, 2354742, 486, 63, 0, 0, 0, 0, 0, 0, 
1717478925107804000, 594376, 0, 560214, 0, 0, 3286054, 663, 107, 0, 0, 0, 0, 0, 0, 
1717478925124376000, 762864, 0, 710695, 0, 0, 4189706, 849, 151, 0, 0, 0, 0, 0, 0, 
1717478925139386000, 923789, 0, 854421, 0, 0, 5052780, 1027, 195, 0, 0, 0, 0, 0, 0, 
1717478925154386000, 1080386, 0, 994286, 0, 0, 5892638, 1200, 239, 0, 0, 0, 0, 0, 0, 
1717478925170386000, 1246642, 0, 1142770, 0, 0, 6784302, 1384, 283, 0, 0, 0, 0, 0, 0, 
1717478925186386000, 1413730, 0, 1292003, 0, 0, 7680434, 1569, 327, 0, 0, 0, 0, 0, 0, 
1717478925203396000, 1589485, 0, 1478181, 0, 0, 8718477, 1767, 371, 0, 0, 0, 0, 0, 0, 
1717478925219396000, 1755594, 0, 1626535, 0, 0, 9609355, 1951, 415, 0, 0, 0, 0, 0, 0, 
1717478925235022000, 1914826, 0, 1768749, 0, 0, 10463349, 2127, 459, 0, 0, 0, 0, 0, 0, 
1717478925250120000, 2079289, 0, 1915637, 0, 0, 11345399, 2309, 503, 0, 0, 0, 0, 0, 0, 
1717478925266175000, 2243937, 0, 2062688, 0, 0, 12228439, 2491, 547, 0, 0, 0, 0, 0, 0, 
1717478925282190000, 2408702, 0, 2238973, 0, 0, 13207276, 2678, 591, 0, 0, 0, 0, 0, 0, 
1717478925298212000, 2573952, 0, 2386559, 0, 0, 14093554, 2861, 635, 0, 0, 0, 0, 0, 0, 
1717478925313849000, 2740327, 0, 2535154, 0, 0, 14985854, 3045, 679, 0, 0, 0, 0, 0, 0, 
1717478925329596000, 2899427, 0, 2677250, 0, 0, 15839140, 3221, 723, 0, 0, 0, 0, 0, 0, 
1717478925344250000, 3055822, 0, 2816931, 0, 0, 16677912, 3394, 767, 0, 0, 0, 0, 0, 0, 
1717478925360192000, 3220006, 0, 2963570, 0, 0, 17558452, 3575, 811, 0, 0, 0, 0, 0, 0, 
1717478925375371000, 3375868, 0, 3131896, 0, 0, 18489556, 3751, 855, 0, 0, 0, 0, 0, 0, 
1717478925390674000, 3541005, 0, 3279386, 0, 0, 19375200, 3933, 899, 0, 0, 0, 0, 0, 0, 
1717478925424102000, 3887114, 0, 3588506, 0, 0, 21231458, 4316, 963, 0, 0, 0, 0, 0, 0, 
1717478925485684000, 4531833, 0, 4193529, 0, 0, 24784661, 5034, 1027, 0, 0, 0, 0, 0, 0, 
1717478925548791000, 5185713, 0, 4806690, 0, 0, 28386808, 5777, 1091, 0, 0, 0, 0, 0, 0, 
